City_ID,City_ID,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
222,30,uturoa,-16.7333,-151.4333,302.21,73,100,5.01,PF,1706661770
223,31,cuyo,10.8525,121.0086,299.13,86,99,10.34,PH,1706661770
224,32,rabaul,-4.1967,152.1721,300.64,79,100,4.06,PG,1706661770
225,33,poronaysk,49.2167,143.1167,257.25,87,60,1.06,RU,1706661770
226,34,gamay,12.3854,125.2979,299.82,78,99,6.0,PH,1706661770
227,35,fauske,67.2588,15.3918,279.17,82,100,5.85,NO,1706661770
228,36,aracati,-4.5617,-37.7697,301.14,74,0,6.09,BR,1706661770
229,37,carmo do paranaiba,-19.0008,-46.3161,294.68,76,100,0.37,BR,1706661771
230,38,nemuro,43.3236,145.575,270.91,65,100,2.42,JP,1706661771
231,39,lorengau,-2.0226,147.2712,301.7,81,100,4.85,PG,1706661771
232,40,senanga,-16.1167,23.2667,293.69,83,94,2.36,ZM,1706661771
233,41,longyearbyen,78.2186,15.6401,268.06,68,75,5.14,SJ,1706661771
234,42,dunedin,-45.8742,170.5036,298.19,91,8,3.58,NZ,1706661771
235,43,penzance,50.1186,-5.5371,277.53,73,11,4.57,GB,1706661771
236,44,ribeira grande,38.5167,-28.7,287.47,88,83,3.13,PT,1706661771
237,45,lompoc,34.6391,-120.4579,289.22,71,75,5.14,US,1706661771
238,46,cabedelo,-6.9811,-34.8339,299.52,73,5,3.86,BR,1706661672
239,47,wick,58.4333,-3.0833,279.18,81,100,10.8,GB,1706661772
240,48,belaya kholunitsa,58.84,50.8528,269.29,91,71,3.84,RU,1706661772
241,49,badger,64.8,-147.5333,247.08,64,75,0.0,US,1706661772
242,50,houlton,46.1262,-67.8403,255.22,79,0,0.0,US,1706661772
243,1,kargil,34.5667,76.1,266.33,70,100,2.05,IN,1706661772
244,2,alofi,-19.0595,-169.9187,301.2,85,100,7.19,NU,1706661772
245,3,kiunga,-6.1219,141.2906,299.69,92,100,0.74,PG,1706661772
246,4,corn island,12.1694,-83.0418,299.83,75,98,11.02,NI,1706661772
247,5,nuuk,64.1835,-51.7216,263.49,44,75,12.35,GL,1706661772
248,6,ajdabiya,30.7554,20.2263,281.93,77,14,3.61,LY,1706661773
249,7,murghob,38.1702,73.9667,258.02,60,100,2.23,TJ,1706661773
250,8,manukan,8.5333,123.1,299.31,91,100,6.64,PH,1706661773
251,9,labrador city,52.9463,-66.9114,259.36,47,75,6.69,CA,1706661773
252,10,caleta de carquin,-11.0925,-77.6267,297.14,81,100,3.61,PE,1706661773
253,12,almirante,9.3,-82.4,296.42,86,96,2.18,PA,1706661773
